m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
218.9600	1	1.62e-4						
219.0000	1	3.39e-4						
219.0400	1	2.14e-4						
219.0800	1	7.40e-5						
219.1200	1	1.70e-5						
219.1600	1	0						
219.2000	1	0						
219.2400	1	0						
219.2800	1	0						
219.3200	1	0						
219.3600	1	0						
219.4000	1	0						
219.4400	1	0						
219.4800	1	0						
219.5200	1	0						
219.5600	1	0						
219.6000	1	0						
219.6400	1	0						
219.6800	1	0						
219.7200	1	0						
219.7600	1	0						
219.8000	1	0						
219.8400	1	0						
219.8800	1	0						
219.9200	1	0						
219.9600	1	4.00e-6						
220.0000	1	2.43e-4						
220.0400	1	9.78e-4						
220.0800	1	0.00108						
220.1200	1	0.00101						
220.1600	1	6.12e-4						
220.2000	1	3.77e-4						
220.2400	1	3.87e-4						
220.2800	1	2.07e-4						
220.3200	1	6.90e-5						
220.3600	1	1.30e-5						
220.4000	1	0						
220.4400	1	0						
220.4800	1	0						
220.5200	1	0						
220.5600	1	0						
220.6000	1	0						
220.6400	1	0						
220.6800	1	0						
220.7200	1	0						
220.7600	1	0						
220.8000	1	0						
220.8400	1	0						
220.8800	1	3.20e-5						
220.9200	1	2.97e-4						
220.9600	1	3.91e-4						
221.0000	1	5.16e-4						
221.0400	1	7.92e-4						
221.0800	1	0.00129						
221.1200	1	0.00192						
221.1600	1	0.00142						
221.2000	1	5.48e-4						
221.2400	1	1.18e-4						
221.2800	1	9.00e-6						
221.3200	1	0						
221.3600	1	0						
221.4000	1	0						
221.4400	1	0						
221.4800	1	0						
221.5200	1	0						
221.5600	1	0						
221.6000	1	0						
221.6400	1	0						
221.6800	1	0						
221.7200	1	0						
221.7600	1	0						
221.8000	1	0						
221.8400	1	0						
221.8800	1	0						
221.9200	1	0						
221.9600	1	8.70e-5						
222.0000	1	4.31e-4						
222.0400	1	9.86e-4						
222.0800	1	0.00114						
222.1200	1	8.03e-4						
222.1600	1	8.47e-4						
222.2000	1	9.65e-4						
222.2400	1	6.70e-4						
222.2800	1	2.63e-4						
222.3200	1	6.60e-5						
222.3600	1	6.00e-6						
222.4000	1	0						
222.4400	1	0						
222.4800	1	0						
222.5200	1	0						
222.5600	1	0						
222.6000	1	0						
222.6400	1	0						
222.6800	1	0						
222.7200	1	0						
222.7600	1	0						
222.8000	1	0						
222.8400	1	0						
